Root	Stem 0 / Basic	Stem 1	Stem 2	Stem 3	Contential	Constitutive	S1 Objective	S2 Objective	S3 Objective	S1 Completive	S2 Completive	S3 Completive	Dynamic	S1 Wikidata	S2 Wikidata	S3 Wikidata
kj	”toughness”/resiliency	“toughness”/perseverance	personal resilience	“antifragile”, i.e learning from a hardship												
kkf	hardened non-living bodily tissue	callus, corn	wart	scar												
kkl	sliver moon shape	sliver moon shape outline	sliver moon shape	negative space of a sliver moon shape												
kkr	gibbous moon shape	gibbous moon shape outline	gibbous moon shape	negative space of a gibbous moon shape												
kkw	atom	atom	electron cloud (set of electron shells)	orbital state (electron state/behavior based on orbital probability distribution)												
kky	atomic nucleus	atomic nucleus	nuclide (configuration of Z, N, & energy state)	nucleosynthesis												
kl	perpendicular-planar range of motion	random directed movement in vertical plane perpendicular to perspective of topical referent	random directed movement in vertical plane perpendicular to perspective of and approaching topical referent	random directed movement in vertical plane perpendicular to perspective of and receding from topical referent												
kll	surprize/amazement/awe/wonder	surprise	amazement/astonishment	awe/wonder												
klw	sling/bolas/lasso	sling	bolas/bolas-like weapon (e.g., ayllo, lliwi, qilumitautit)	lasso/lariat												
kly	chakram/shuriken/boomerang	chakram/chalikar/war-quoit	shuriken/ninja star/throwing star	boomerang/valari												
km	punctuality/earliness/lateness	degree of punctuality	something early	something late												
kmw	buxaceae	box, boxwood (genus Buxus)	Allegheny spurge, carpet box/Japanese spurge, pachysandra (genus Pachysandra)	sweet box, Christmas box, styloceras (genera Sarcococca, Styloceras)												
kmy	other buxales	didymeles (genus Didymeles)	haptanthus (genus Haptanthus)	n/a												
kn	deserve/worthiness/reward	deserving of something	worthy, to merit	granting a party what they deserve												
knw	deluded/uncontrolled/demented behavior	delusion, deluded thinking	uncontrolled/inappropriate behavior	dementia												
kny	stinginess/selfishness/uncharitableness	stinginess	selfishness	uncharitableness/compassionlessness/miserliness												
kp	degree of effort	degree of (physical) effort	degree of (mental/intellectual) effort	degree of effort (organizational complexity)												
kpç	selineae 6	moon carrot, stone-parsley (genus Seseli)	button parsley/woollyhead parsnip/ranger’s buttons/button parsley/swamp white heads (genus Angelica previously classified in genus Sphenosciadium)	pimpernel (genus Taenidia)												
kpf	selineae 4	beach silvertop/American silvertop (genus Glehnia)	buscuitroot/Indian parsley/desert parsley (genus Lomatium previously not classified in genus Orogenia)	mountainparsley (genus Oreonana)												
kph	aciphylleae	golden speargrass/golden Spaniard, giant speargrass, mountain celery/snow aciphyll (genus Aciphylla)	Campbell Island carrot, mountain celery (genus Anisotome)	other acyphill plant (genera Gingidia, Lignocarpa, Scandia)												
kpl	selineae 1	milk-parsley (genus Selinum)	fool’s parsley/fool’s cicely/poison parsley (genus Aethusa)	umbrellawort (genus Tauschia)												
kpļ	selineae 7	meadow-parsnip (genus Thaspium)	alexanders, zizia (genus Zizia)	other selenid parsley-like plant (other selineae)												
kpr	selineae 2	angelica (genus Angelica previously not classified in genus Sphenosciadium)	sandparsley (genus Ammoselinum)	mock parsley (genus Apiastrum)												
kpř	selineae 3	arracacha/racacha (genus Arracacia)	cnidium (genus Cnidium)	springparsley, Indian parsnip, wavewing (genus Cymopterus)												
kpţ	selineae 5	Indian potato (genus Lomatium previously classified in genus Orogenia)	podistera, woodroot (genus Podistera)	siler (genus Saposhnikovia)												
kpw	apieae 1	celery plant, marshwort (genus Apium)	fennel plant (genus Foeniculum)	parsley plant (genus Petroselinum)												
kpy	apieae 2	dill plant (genus Anethum)	bishop’s weed/bullwort/lady’s face/laceflower, toothpick-plant/toothpickweed/bisnaga/khella (genus Ammi)	other apiid plant (other Apieae)												
kr	oblique vertical quasi-linear motion	ascending descending at a slant	oblique ascent	oblique descent												
kř	feel ill/sick	feel ill/sick/unhealthy	feel torpor/lethargy	feel weakness												
ks	two	set/group of two entities	something with two aspects/facets	second entity in a sequence												
kš	clownery/artistic absurdity/artistic surrealism	performing as a clown	absurdist/”dada-esque” art	surrealist art												
ksb	emotional numbness/unavailability/stoicalness	emotional numbness/weariness/fatigue	emotional unavailability/closeness/coldness	stoicalness/repressiveness												
kšb	key/lockpick/other lock-opening instrument	key	lockpick	lock-opening device/instrument (e.g., fingerprint scanner)												
ksbl	araliaceae 3	parasol tree, Ming aralia, island pine, elderberry panax/small basswood, shield arala/plum aralia, pencil cedar, celery wood (genus Polyscias)	false aralia (genus Plerandra)	wild-maple/mock carrot tree (genus Seemannaralia)												
ksbr	araliaceae 4	rice-paper plant (genus Tetrapanax)	wild parsnip, white parsnip, sponge-fruit, blue lace flower, purple parsnip (genus Trachymene)	water pennywort, marsh pennywort, waxweed, floating pennyroyal, whorled pennyroyal (genus Hydrocotyle)												
ksbř	araliaceae 5	Macquarie Island cabbage (genus Azorella previously classified in genus Stilbocarpa)	other araliaceous plant (other Araliaceae)	n/a												
ksbv	other apiales	pittosporum, billardiera, pronaya, Australian bluebell, appleberry, blackthorn, finger-flower, cheesewood, petroleum nut, lemonwood, native frangipani, marianthus, white marianth (Pittosporaceae)	other apiales plant (Torricelliaceae, Griseliniaceae, Myodocarpaceae, Pennantiaceae)	n/a												
ksbw	araliaceae 1	ivy (genus Hedera)	ginseng (genus Panax)	spikenard, aralia, sarsaparilla, devil’s walking stick/Hercules’ club/angelica-tree/prickly ash/prickly elder (genus Aralia)												
ksby	araliaceae 2	star-hair, flannel leaf (genus Astrotricha)	castor aralia/tree aralia/prickly castor oil tree (genus Kalopanax)	devil’s club/Alaskan ginseng (genus Oplopanax)												
ksc	refrigerator †	refrigerator														
ksč	freezer †	freezer														
kšč	remote control †	remote control														
ksd	bittersweetness/solace/fortitude	bittersweetness	solace/comfort in face of sadness/grief	forbearance/fortitude												
ksf	use/utilization/consumption/expenditure	using/utilizing	serving/using/functioning as	consumption/expenditure/using up												
kšf	engagement/be in play/recourse/agency	engagement	recourse	agency												
ksfw	crosscut saw/backsaw/hacksaw/coping saw/bow saw	crosscut saw	backsaw	hacksaw/coping saw/bow saw												
ksfy	jigsaw/circular saw/chainsaw	jigsaw	circular saw	chainsaw												
ksg	alertness/suspicion/watchfulness	alertness	wariness/suspicion	watchfulness/vigilance												
ksk	annoyance/anger/rage	annoyance/irritation	anger/ire	rage/fury												
kšk	fantastic or imaginary being or creature/monster	fantastic or imaginary being/creature	monster	alien/extraterrestrial being												
kskç	proteobacterium 8	brucella (genus Brucella)	bartonella (genus Bartonella)	rhizobium (genus Rhizobium)												
kskf	proteobacterium 6	neisseria (genus Neisseria)	bordetella (genus Bordetella)	burkholderia (genus Burkholderia)												
kskh	proteobacterium 11	myxococcus (genus Myxococcus)	disulfovibrio (genus Disulfovibrio)	geobacter (genus Geobacter)												
kskhw	proteobacteria 12	cardiobacterium (genus Cardiobacterium)	stenotrophomonas (genus Stenotrophomonas)	other proteobacterium (other Proteobacteria)												
kskl	proteobacterium 3	pseudomonas (genus Pseudomonas)	francisella (genus Francisella)	xanthomonas (genus Xanthomonas)												
kskm	proteobacterium 9	rickettsia (genus Rickettsia)	orientia (genus Orientia)	ehrlichia (genus Ehrlichia)												
kskn	proteobacterium 10	helicobacter (genus Helicobacter)	campylobacter (genus Campylobacter)	wolinella (genus Wolinella)												
kskr	proteobacterium 4	legionella (genus Legionella)	coxiella (genus Coxiella)	klebsiella (genus Klebsiella)												
kskř	proteobacterium 5	aggregatibacter (genus Aggregatibacter)	azotobacter (genus Azotobacter)	acidithiobacillus (genus Acidithiobacillus)												
kskţ	proteobacterium 7	chromobacterium (genus Chromobacterium)	eikenella (genus Eikenella)	ralstonia (genus Ralstonia)												
kskw	proteobacterium 1	salmonella (genus Salmonella)	shigella (genus Shigella)	escherichia (genus Escherichia)												
ksky	proteobacterium 2	yersinia (genus Yersinia) [-ÇK- Bubonic plague]	haemophilus (genus Haemophilus)	vibrio (genus Vibrio)												
ksl	idea/analysis/abstraction/concept	idea	analysis	abstraction/concept												
kšl	rectangle	rectangle outline	rectangle	negative space of a rectangle												
kslw	hip ligament 1	iliofemoral ligament/Y-ligament	pubofemoral ligament	ischiofemoral ligament												
kšlw	pelvic ligament 1	anterior sacroiliac ligament	posterior sacroiliac ligament	interosseous sacroiliac ligament												
ksly	hip ligament 2	head of the femur ligament	transverse acetabular ligament	acetabular labrum												
kšly	pelvic ligament 2	superior pubic ligament	inferior pubic ligament	sacrotuberous ligament												
ksm	country/land/territory/region	country/territory	province	cultural region												
kšm	complacency/detachment/avoidance	complacency	emotional/psychological detachment	unwillingness to get involved, psychological avoidance												
ksml	irregular polygon	irregular polygon outline	irregular polygon	negative space of an irregular polygon												
ksmr	irregular polyhedron	irregular polyhedron	hollow irregular polyhedron	irregular polyhedron lattice												
ksmw	stove †	stove														
ksmy	oven †	oven														
ksmy	jagged line	jagged line	jagged line 3D extension	negative space of a jagged line												
ksn	positive overall physical state	feeling energized/alert	feeling physically in shape	feeling physically strong												
ksň	newspaper	reading a newspaper	newspaper publication	newspaper												
kšn	leaf/flower/bud	leaf	flower	bud												
kšň	spring (tool)	(spirally-coiled) compression spring	(spirally-coiled) torsion spring	constant force spring												
ksp	pessimism/defeatism/paranoia	pessimism	defeatism	paranoia												
kšp	apioideae 1	parsnip plant (genus Pastinaca)	lovage (genus Levisticum)	licorice-root (genus Ligusticum)												
kšph	other apiaceae	azorella, cushion plant, llareta/yareta (Azorelloideae previously not classified in genus Stilbocarpa)	other apiaceous plant (other Apiaceae)	n/a												
kspl	kerosene	kerosene	chemical reaction of kerosene	energy released from chemical reaction of kerosene												
kšpl	apioideae 4	hogweed, giant hogweed, cow parsnip (genus Heracleum)	alexanders/black-lovage/horse-parsley (genus Smyrnium)	hartwort (genus Tordylium)												
kšpļ	apioideae 7	pepper-saxifrage (genus Silaum)	adjwain/ajowan/bishop’s weed/carom, radhuni/wild celery (genus Trachyspermum)	other apioid plant (other Apioideae)												
kspr	gasoline	gasoline	chemical reaction of gasoline	energy released from chemical reaction of gasoline												
kspř	propane	propane	chemical reaction of propane	energy released from chemical reaction of propane												
kšpr	apioideae 5	hare’s ear, thorow-wax, thoroughwax (genus Bupleurum)	sickleweed/longleaf (genus Falcaria)	harbinger of spring, pepper-and-salt (genus Erigenia)												
kšpř	apioideae 6	hemlock (genus Conium)	hemlock-parsley (genus Conioselinum)	Hercules-all-heal (genus Opopanax)												
